Common name,Token number
Lepirudin,0
Cetuximab,0
Dornase,0
alfa,1
Denileukin,0
diftitox,1
Etanercept,0
Bivalirudin,0
Leuprolide,0
Peginterferon,0
alfa-2a,1
Alteplase,0
Sermorelin,0
Interferon,0
alfa-n1,1
Darbepoetin,0
Urokinase,0
Goserelin,0
Reteplase,0
Erythropoietin,0
Salmon,0
calcitonin,1
alfa-n3,1
Pegfilgrastim,0
Sargramostim,0
alfa-2b,1
Asparaginase,0
Escherichia,1
coli,2
Thyrotropin,0
Antihemophilic,0
factor,1
",",2
human,3
recombinant,4
Anakinra,0
Gramicidin,0
D,1
Human,0
immunoglobulin,1
G,2
Anistreplase,0
Insulin,0
human,1
Tenecteplase,0
Menotropins,0
gamma-1b,1
Desmopressin,0
Coagulation,0
VIIa,2
Recombinant,3
Human,4
Oprelvekin,0
Palifermin,0
Glucagon,0
Aldesleukin,0
Botulinum,0
toxin,1
type,2
B,3
Omalizumab,0
Lutropin,0
Lyme,0
disease,1
vaccine,2
(,3
OspA,5
),6
lispro,1
glargine,1
Collagenase,0
clostridium,1
histolyticum,2
Rasburicase,0
Cetrorelix,0
Adalimumab,0
Somatotropin,0
Imiglucerase,0
Abciximab,0
Drotrecogin,0
Gemtuzumab,0
ozogamicin,1
Indium,0
In-111,1
satumomab,2
pendetide,3
Alpha-1-proteinase,0
inhibitor,1
Pegaspargase,0
beta-1a,1
Pegademase,0
Albumin,0
Eptifibatide,0
Infliximab,0
Follitropin,0
Vasopressin,0
beta-1b,1
alfacon-1,1
Hyaluronidase,0
(,1
ovine,2
),3
pork,1
Trastuzumab,0
Rituximab,0
Basiliximab,0
Muromonab,0
Digoxin,0
Immune,1
Fab,2
Ovine,4
),5
Ibritumomab,0
tiuxetan,1
Daptomycin,0
Tositumomab,0
Pegvisomant,0
A,3
Pancrelipase,0
Streptokinase,0
Alemtuzumab,0
Alglucerase,0
Capromab,0
pendetide,1
Laronidase,0
Cyclosporine,0
Alefacept,0
Felypressin,0
Urofollitropin,0
Efalizumab,0
Choriogonadotropin,0
Antithymocyte,0
(,2
rabbit,3
),4
Filgrastim,0
Factor,1
IX,2
Recombinant,4
Becaplermin,0
Agalsidase,0
beta,1
Octreotide,0
Abarelix,0
Oxytocin,0
Natalizumab,0
Enfuvirtide,0
Palivizumab,0
Daclizumab,0
Bevacizumab,0
Technetium,0
Tc-99m,1
arcitumomab,2
Pyridoxal,0
phosphate,1
Cyanocobalamin,0
Tetrahydrofolic,0
