F1,feature.minfreq,c2
74.5%,1,0.001
74.5%,1,0.01
74.7%,1,0.1
72.1%,1,1.0
63.3%,1,10.0
47.2%,1,100.0
73.7%,2,0.001
73.6%,2,0.01
73.9%,2,0.1
73.3%,2,1.0
62.4%,2,10.0
47.1%,2,100.0
71.4%,5,0.001
71.4%,5,0.01
71.9%,5,0.1
72.7%,5,1.0
62.1%,5,10.0
46.8%,5,100.0
68.3%,10,0.001
68.4%,10,0.01
68.5%,10,0.1
69.4%,10,1.0
61.5%,10,10.0
46.6%,10,100.0
67.0%,20,0.001
67.0%,20,0.01
67.2%,20,0.1
65.4%,20,1.0
60.9%,20,10.0
46.0%,20,100.0
63.9%,50,0.001
63.9%,50,0.01
64.2%,50,0.1
63.8%,50,1.0
59.4%,50,10.0
45.2%,50,100
